date,new price open,new price close,t+1 new,t+2 new,t+3 new ,t+4 new ,t+5 new ,t+6 new,full price open,full price close,t+1 full,t+2 full,t+3 full,t+4 full,t+5 full,t+6 full,% change new to full ,,% change new t+1,,% new t+2,,%n t+3,,%n t+4,,%n t+5,,%n t+6,,% change Full to new,,%change full+1,,%Ft+2,,%F t+3,,%ft+4,,%ft+5,,%ft+6,
10/8/18-10/24/18,"6,600.19","6,652.23","6,642.64","6,585.53","6,256.24","6,274.58","6,285.99","6,290.93","6,478.89","6,495.84","6,476.29","6,474.75","6,480.38","6,486.39","6,332.63","6,334.27",2.41%,,0.14%,,1.01%,,6.33%,,6.02%,,5.83%,,5.74%,,0.53%,,-0.30%,,-0.32%,,-0.24%,,-0.15%,,-2.51%,,-2.49%,
11/7/18-11/23/18,"6,468.50","6,530.14","6,453.72","6,385.62","6,409.22","6,411.27","6,371.27","6,359.49","4,360.70","4,347.11","3,880.76","4,009.97","3,779.13","3,820.72","4,257.42","4,278.85",50.22%,,1.18%,,2.26%,,1.89%,,1.85%,,2.49%,,2.68%,,-21.33%,,-10.73%,,-7.76%,,-13.07%,,-12.11%,,-2.06%,,-1.57%,
12/7/18-12/22/18,"3,512.59","3,419.94","3,476.11","3,614.23","3,502.66","3,424.59","3,486.95","3,313.68","3,898.08","4,014.18","3,998.98","4,078.60","3,815.49","3,857.30","3,654.83","3,923.92",-14.80%,,-1.62%,,-5.38%,,-2.36%,,-0.14%,,-1.92%,,3.21%,,-4.21%,,-0.38%,,1.60%,,-4.95%,,-3.91%,,-8.95%,,-2.25%,
1/5/19-1/21/19,"3,851.97","3,845.19","4,076.63","4,025.25","4,030.85","4,035.30","3,678.92","3,687.37","3,600.37","3,576.03","3,604.58","3,585.12","3,600.87","3,599.77","3,602.46","3,583.97",7.53%,,-5.68%,,-4.47%,,-4.61%,,-4.71%,,4.52%,,4.28%,,-3.27%,,0.80%,,0.25%,,0.69%,,0.66%,,0.74%,,0.22%,
2/4/19-2/19/19,"3,467.21","3,459.15","3,466.36","3,413.77","3,399.47","3,666.78","3,671.20","3,690.19","3,911.66","3,947.09","3,999.82","3,954.12","4,005.53","4,142.53","3,810.43","3,882.70",-12.36%,,-0.21%,,1.33%,,1.76%,,-5.66%,,-5.78%,,-6.26%,,-1.09%,,1.34%,,0.18%,,1.48%,,4.95%,,-3.46%,,-1.63%,
3/6/19-3/20/19,"3,897.08","3,903.94","3,911.48","3,901.13","3,963.31","3,951.60","3,905.23","3,909.16","4,070.79","4,087.48","4,029.33","4,023.97","4,035.83","4,022.17","3,963.07","3,985.08",-4.49%,,-0.19%,,0.07%,,-1.50%,,-1.21%,,-0.03%,,-0.13%,,23.22%,,-1.42%,,-1.55%,,-1.26%,,-1.60%,,-3.04%,,-2.51%,
4/5/19-4/19/19,"4,922.81","5,036.68","5,059.82","5,198.90","5,289.77","5,204.96","5,324.55","5,064.49","5,298.15","5,303.81","5,337.89","5,314.53","5,399.37","5,572.36","5,464.87","5,210.52",-5.04%,,-0.46%,,-3.12%,,-4.78%,,-3.23%,,-5.41%,,-0.55%,,9.94%,,0.64%,,0.20%,,1.80%,,5.06%,,3.04%,,-1.76%,
5/4/19-5/18/19,"5,769.20","5,831.17","5,795.71","5,746.81","5,829.50","5,982.46","6,174.53","6,378.85","7,341.66","7,271.21","8,197.69","7,978.31","7,963.33","7,680.07","7,881.85","7,987.37",-19.80%,,0.61%,,1.47%,,0.03%,,-2.53%,,-5.56%,,-8.59%,,12.90%,,12.74%,,9.72%,,9.52%,,5.62%,,8.40%,,9.85%,
6/3/19-6/17/19,"8,741.75","8,209.00","7,707.77","7,824.23","7,822.02","8,043.95","7,954.13","7,688.08","8,988.92","9,320.35","9,081.76","9,273.52","9,527.16","10,144.56","10,701.69","10,855.37",-11.92%,,6.50%,,4.92%,,4.95%,,2.05%,,3.20%,,6.78%,,15.89%,,-2.56%,,-0.50%,,2.22%,,8.84%,,14.82%,,16.47%,
7/2/19-7/16/19,"10,588.68","10,801.68","11,961.27","11,215.44","10,978.46","11,208.55","11,450.85","12,285.96","10,896.65","9,477.64","9,693.80","10,666.48","10,530.73","10,767.14","10,599.11","10,343.11",13.97%,,-9.69%,,-3.69%,,-1.61%,,-3.63%,,-5.67%,,-12.08%,,6.41%,,2.28%,,12.54%,,11.11%,,13.61%,,11.83%,,9.13%,
